Page URL,Image source path,Delivered URL,Filename,Alt text,Alt length,Element type,Loading,Dimensions,File size (KB),Format,In sitemap,In page schema,Source file,Under src/data/wp-export,Triage,Cluster,Srcset,Sizes,Display dimensions,Clean URL,Clean URL status,Image resolution error,L19 filename match,Export/camera code,Alt duplicate across different images,Served >2x display,C candidate,L19 failures
https://www.samanportable.com/,https://www.samanportable.com/hero-image/saman-portable-office-cabin-bangalore.webp,https://www.samanportable.com/hero-image/saman-portable-office-cabin-bangalore.webp,saman-portable-office-cabin-bangalore.webp,MISSING,0,schema-only,absent,1600x900,81.47,webp,no,yes — LocalBusiness,src/components/UnifiedSEO.tsx; src/config/seo.ts; src/lib/schema.ts; src/pages/index.tsx; src/pages/[slug].tsx [wp-export=no],no,B,sitewide,,,absent,https://www.samanportable.com/hero-image/saman-portable-office-cabin-bangalore.webp,200,,yes,no,no,no,no,alt-missing-or-empty; not-in-image-sitemap
https://www.samanportable.com/,/saman-logo.svg,/saman-logo.svg,saman-logo.svg,SAMAN Portable Logo,19,img,absent,250x125,11.55,svg+xml,no,"yes — LocalBusiness, Organization",src/data/wp-export/posts/porta-cabins-in-anekal.json; src/data/wp-export/posts/porta-cabins-in-domlur.json; src/data/wp-export/posts/porta-cabins-in-hebbal.json; src/data/wp-export/posts/porta-cabins-in-jigani.json; src/data/wp-export/posts/porta-cabins-in-kengeri.json [wp-export=yes],yes,B,sitewide,,,200x100,https://www.samanportable.com/saman-logo.svg,200,,no,no,no,no,no,filename-pattern; alt-length; not-in-image-sitemap
https://www.samanportable.com/,/hero-image/saman-portable-office-cabin-bangalore-clean.webp,/hero-image/saman-portable-office-cabin-bangalore-clean.webp,saman-portable-office-cabin-bangalore-clean.webp,Saman Portable Office Cabin in Bangalore - High Quality Site Office,67,img,absent,1600x900,79.21,webp,no,no,src/components/HeroSection.tsx [wp-export=no],no,A,sitewide,"/hero-image/saman-portable-office-cabin-bangalore-640.webp 640w, /hero-image/saman-portable-office-cabin-bangalore-640.webp 750w, /hero-image/saman-portable-office-cabin-bangalore-640.webp 828w, /hero-image/saman-portable-office-cabin-bangalore-640.webp 1080w, /hero-image/saman-portable-office-cabin-bangalore-clean.webp 1200w, /hero-image/saman-portable-office-cabin-bangalore-clean.webp 1920w",100vw,absent,https://www.samanportable.com/hero-image/saman-portable-office-cabin-bangalore-clean.webp,200,,yes,no,no,no,no,not-in-image-sitemap
https://www.samanportable.com/,/homepage/cert-bg/cert-bg-zed-quality-inspection.webp,/_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-zed-quality-inspection.webp&w=1920&q=75,cert-bg-zed-quality-inspection.webp,Quality inspection of insulated panels at a SAMAN Portable factory,66,next/image,lazy,1000x563,28.1,webp,no,no,src/components/HomepageCertifications.tsx [wp-export=no],no,A,sitewide,"/_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-zed-quality-inspection.webp&w=256&q=75 256w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-zed-quality-inspection.webp&w=640&q=75 640w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-zed-quality-inspection.webp&w=750&q=75 750w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-zed-quality-inspection.webp&w=828&q=75 828w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-zed-quality-inspection.webp&w=1080&q=75 1080w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-zed-quality-inspection.webp&w=1200&q=75 1200w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-zed-quality-inspection.webp&w=1920&q=75 1920w","(max-width: 768px) 100vw, (max-width: 1024px) 50vw, 25vw",absent,https://www.samanportable.com/homepage/cert-bg/cert-bg-zed-quality-inspection.webp,200,,yes,no,no,no,no,not-in-image-sitemap
https://www.samanportable.com/,/credentials/optimized/zed-bronze.webp,/_next/image?url=%2Fcredentials%2Foptimized%2Fzed-bronze.webp&w=640&q=75,zed-bronze.webp,EMPTY,0,next/image,lazy,480x480,13.82,webp,no,no,src/components/HomepageCertifications.tsx [wp-export=no],no,B,sitewide,"/_next/image?url=%2Fcredentials%2Foptimized%2Fzed-bronze.webp&w=256&q=75 1x, /_next/image?url=%2Fcredentials%2Foptimized%2Fzed-bronze.webp&w=640&q=75 2x",,200x200,https://www.samanportable.com/credentials/optimized/zed-bronze.webp,200,,no,no,no,yes,no,filename-pattern; alt-missing-or-empty; not-in-image-sitemap
https://www.samanportable.com/,/homepage/cert-bg/cert-bg-msme-factory-floor.webp,/_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-msme-factory-floor.webp&w=1920&q=75,cert-bg-msme-factory-floor.webp,Cabin fabrication line at a SAMAN Portable manufacturing facility,65,next/image,lazy,1000x563,56.36,webp,no,no,src/components/HomepageCertifications.tsx [wp-export=no],no,A,sitewide,"/_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-msme-factory-floor.webp&w=256&q=75 256w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-msme-factory-floor.webp&w=640&q=75 640w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-msme-factory-floor.webp&w=750&q=75 750w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-msme-factory-floor.webp&w=828&q=75 828w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-msme-factory-floor.webp&w=1080&q=75 1080w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-msme-factory-floor.webp&w=1200&q=75 1200w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-msme-factory-floor.webp&w=1920&q=75 1920w","(max-width: 768px) 100vw, (max-width: 1024px) 50vw, 25vw",absent,https://www.samanportable.com/homepage/cert-bg/cert-bg-msme-factory-floor.webp,200,,yes,no,no,no,no,not-in-image-sitemap
https://www.samanportable.com/,/credentials/optimized/msme-udyam.webp,/_next/image?url=%2Fcredentials%2Foptimized%2Fmsme-udyam.webp&w=640&q=75,msme-udyam.webp,EMPTY,0,next/image,lazy,480x480,16.71,webp,no,no,src/components/HomepageCertifications.tsx [wp-export=no],no,B,sitewide,"/_next/image?url=%2Fcredentials%2Foptimized%2Fmsme-udyam.webp&w=256&q=75 1x, /_next/image?url=%2Fcredentials%2Foptimized%2Fmsme-udyam.webp&w=640&q=75 2x",,200x200,https://www.samanportable.com/credentials/optimized/msme-udyam.webp,200,,no,no,no,yes,no,filename-pattern; alt-missing-or-empty; not-in-image-sitemap
https://www.samanportable.com/,/homepage/cert-bg/cert-bg-dpiit-design-studio.webp,/_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-dpiit-design-studio.webp&w=1920&q=75,cert-bg-dpiit-design-studio.webp,Modular building design and engineering at SAMAN Portable,57,next/image,lazy,1000x563,19.1,webp,no,no,src/components/HomepageCertifications.tsx [wp-export=no],no,A,sitewide,"/_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-dpiit-design-studio.webp&w=256&q=75 256w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-dpiit-design-studio.webp&w=640&q=75 640w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-dpiit-design-studio.webp&w=750&q=75 750w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-dpiit-design-studio.webp&w=828&q=75 828w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-dpiit-design-studio.webp&w=1080&q=75 1080w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-dpiit-design-studio.webp&w=1200&q=75 1200w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-dpiit-design-studio.webp&w=1920&q=75 1920w","(max-width: 768px) 100vw, (max-width: 1024px) 50vw, 25vw",absent,https://www.samanportable.com/homepage/cert-bg/cert-bg-dpiit-design-studio.webp,200,,yes,no,no,no,no,alt-length; not-in-image-sitemap
https://www.samanportable.com/,/credentials/optimized/dpiit-startup.webp,/_next/image?url=%2Fcredentials%2Foptimized%2Fdpiit-startup.webp&w=640&q=75,dpiit-startup.webp,EMPTY,0,next/image,lazy,480x480,8.24,webp,no,no,src/components/HomepageCertifications.tsx [wp-export=no],no,B,sitewide,"/_next/image?url=%2Fcredentials%2Foptimized%2Fdpiit-startup.webp&w=256&q=75 1x, /_next/image?url=%2Fcredentials%2Foptimized%2Fdpiit-startup.webp&w=640&q=75 2x",,200x200,https://www.samanportable.com/credentials/optimized/dpiit-startup.webp,200,,no,no,no,yes,no,filename-pattern; alt-missing-or-empty; not-in-image-sitemap
https://www.samanportable.com/,/homepage/cert-bg/cert-bg-nsic-dispatch-yard.webp,/_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-nsic-dispatch-yard.webp&w=1920&q=75,cert-bg-nsic-dispatch-yard.webp,Finished portable cabins ready for dispatch at a SAMAN Portable yard,68,next/image,lazy,1000x563,49.63,webp,no,no,src/components/HomepageCertifications.tsx [wp-export=no],no,C,sitewide,"/_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-nsic-dispatch-yard.webp&w=256&q=75 256w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-nsic-dispatch-yard.webp&w=640&q=75 640w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-nsic-dispatch-yard.webp&w=750&q=75 750w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-nsic-dispatch-yard.webp&w=828&q=75 828w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-nsic-dispatch-yard.webp&w=1080&q=75 1080w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-nsic-dispatch-yard.webp&w=1200&q=75 1200w, /_next/image?url=%2Fhomepage%2Fcert-bg%2Fcert-bg-nsic-dispatch-yard.webp&w=1920&q=75 1920w","(max-width: 768px) 100vw, (max-width: 1024px) 50vw, 25vw",absent,https://www.samanportable.com/homepage/cert-bg/cert-bg-nsic-dispatch-yard.webp,200,,yes,no,no,no,verified,not-in-image-sitemap; truth-defect
