id	store_code	availability	quantity	price
272776	SA201617	in_stock		55.00 INR
272776	11523617060201819870	in_stock		55.00 INR
272774	SA201617	in_stock		66.00 INR
272774	11523617060201819870	in_stock		66.00 INR
990021	SA201617	in_stock		1010.00 INR
990021	11523617060201819870	in_stock		1010.00 INR
272772	SA201617	in_stock		38.00 INR
272772	11523617060201819870	in_stock		38.00 INR
990020	SA201617	in_stock		770.00 INR
990020	11523617060201819870	in_stock		770.00 INR
990017	SA201617	in_stock		1290.00 INR
990017	11523617060201819870	in_stock		1290.00 INR
990008	SA201617	in_stock		1050.00 INR
990008	11523617060201819870	in_stock		1050.00 INR
990016	SA201617	in_stock		1410.00 INR
990016	11523617060201819870	in_stock		1410.00 INR
990005	SA201617	in_stock		1050.00 INR
990005	11523617060201819870	in_stock		1050.00 INR
990007	SA201617	in_stock		1050.00 INR
990007	11523617060201819870	in_stock		1050.00 INR
990006	SA201617	in_stock		1050.00 INR
990006	11523617060201819870	in_stock		1050.00 INR
990002	SA201617	in_stock		1050.00 INR
990002	11523617060201819870	in_stock		1050.00 INR
990003	SA201617	in_stock		1050.00 INR
990003	11523617060201819870	in_stock		1050.00 INR
990001	SA201617	in_stock		1050.00 INR
990001	11523617060201819870	in_stock		1050.00 INR
990004	SA201617	in_stock		1050.00 INR
990004	11523617060201819870	in_stock		1050.00 INR
230186	SA201617	on_display_to_order		585000.00 INR
230186	11523617060201819870	on_display_to_order		585000.00 INR
230172	SA201617	on_display_to_order		615000.00 INR
230172	11523617060201819870	on_display_to_order		615000.00 INR
230162	SA201617	on_display_to_order		1125000.00 INR
230162	11523617060201819870	on_display_to_order		1125000.00 INR
230152	SA201617	on_display_to_order		155000.00 INR
230152	11523617060201819870	on_display_to_order		155000.00 INR
230114	SA201617	on_display_to_order		755000.00 INR
230114	11523617060201819870	on_display_to_order		755000.00 INR
229932	SA201617	on_display_to_order		985000.00 INR
229932	11523617060201819870	on_display_to_order		985000.00 INR
229930	SA201617	on_display_to_order		1865000.00 INR
229930	11523617060201819870	on_display_to_order		1865000.00 INR
229928	SA201617	on_display_to_order		2155000.00 INR
229928	11523617060201819870	on_display_to_order		2155000.00 INR
229916	SA201617	on_display_to_order		1965000.00 INR
229916	11523617060201819870	on_display_to_order		1965000.00 INR
229854	SA201617	in_stock		65000.00 INR
229854	11523617060201819870	in_stock		65000.00 INR
229852	SA201617	in_stock		80000.00 INR
229852	11523617060201819870	in_stock		80000.00 INR
229850	SA201617	in_stock		95000.00 INR
229850	11523617060201819870	in_stock		95000.00 INR
229848	SA201617	in_stock		105000.00 INR
229848	11523617060201819870	in_stock		105000.00 INR
229846	SA201617	in_stock		105000.00 INR
229846	11523617060201819870	in_stock		105000.00 INR
229844	SA201617	in_stock		90000.00 INR
229844	11523617060201819870	in_stock		90000.00 INR
229832	SA201617	in_stock		65000.00 INR
229832	11523617060201819870	in_stock		65000.00 INR
229780	SA201617	in_stock		105000.00 INR
229780	11523617060201819870	in_stock		105000.00 INR
229778	SA201617	in_stock		95000.00 INR
229778	11523617060201819870	in_stock		95000.00 INR
